review,sentiment
The movie was fantastic and I loved every moment of it,positive
"Absolutely terrible film, waste of time",negative
Great storyline and excellent acting,positive
Worst movie I have ever seen,negative
"It was an average film, nothing special",negative
Amazing visuals and superb soundtrack,positive
The plot was very boring and slow,negative
"I really enjoyed this movie, highly recommended",positive
"Not good, I fell asleep",negative
Brilliant direction and very engaging,positive
The acting was horrible and the story was weak,negative
I loved the cinematography and the story was touching,positive
"Awful movie, would not recommend",negative
The characters were well written and realistic,positive
"One of the worst films, complete disaster",negative
"Best film of the year, absolutely loved it",positive
Boring and poorly executed,negative
"Simply amazing, I would watch it again",positive
A disappointing movie with no real plot,negative
Fantastic performance by the lead actor,positive
Terrible script and bad acting,negative
"A masterpiece, truly inspiring",positive
"Not enjoyable, too slow and confusing",negative
"Loved the soundtrack, very immersive",positive
"A total flop, waste of money",negative
Outstanding direction and gripping story,positive
Poorly written and badly directed,negative
Amazing movie with thrilling moments,positive
Bad pacing and dull scenes,negative
Superb acting and beautifully shot,positive
"I hated the movie, extremely boring",negative
"Wonderful film, emotional and powerful",positive
Terrible editing and messy storyline,negative
"Mind-blowing, an unforgettable experience",positive
Too predictable and unoriginal,negative
"A beautiful story, well executed",positive
Worst acting I’ve ever seen,negative
A joyful and heartwarming movie,positive
"Bad acting, bad music, nothing good",negative
Truly brilliant with great performances,positive
